"year","red_flood_max","black_flood_max"
1953,1455,1923
1954,1425,1915
1955,1493,1963
1956,1267,1527
1957,1363,1899
1958,1844,1812
1959,1391,1685
1960,1204,1733
1961,1436,1466
1962,1479,1204
1963,1168,1527
1964,1616,1788
1965,1868,1568
1966,1198,1411
1967,1534,2173
1968,1308,1000
1969,1555,1500
1970,1084,1078
1971,1138,890
1972,1288,169
1973,1075,260
1974,1300,660
1975,1328,1250
1976,1436,701
1977,986,256
1978,1231,580
1979,1555,350
1980,1108,270
1981,1309,373
1982,1211,101
1983,1034,120
1984,1367,47
1985,1261,177
1986,878,143
1987,1039,76
1988,1894,178
1989,1117,114
1990,1146,234
1991,1194,176
1992,1361,174
1993,1056,129
1994,1711,775
1995,1090,590
1996,1150,265
1997,1030,209
1998,1900,466
1999,1439,1115
2000,1162,524
2001,1313,512
2002,1357,140
2003,1797,524
2004,1053,367
2005,1613,304
2006,1719,497
2007,1401,767
2008,1248,366
2009,1411,274
2010,1993,721
2011,1215,271
2012,2477,1045
